N_base,parameter,S1_Tcloud,S1_conf_Tcloud,ST_Tcloud,ST_conf_Tcloud,S1_M_final,S1_conf_M_final,ST_M_final,ST_conf_M_final
128,N_eff,0.1341,0.0884,0.1517,0.0635,0.0,0.0,0.0,0.0
128,beta,0.1282,0.1053,0.2221,0.0839,0.0,0.0,0.0,0.0
128,Tc_K,0.1772,0.1282,0.2272,0.0731,0.0,0.0,0.0,0.0
128,dG_ads,0.0911,0.1181,0.2163,0.0857,0.0,0.0,0.0,0.0
128,a_s,0.0317,0.1151,0.2195,0.0945,0.9133,0.2004,0.899,0.1707
128,I_M,0.11,0.0916,0.1477,0.0727,0.0,0.0,0.0,0.0
128,eta_eff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,k_ext,0.0,0.0,0.0,0.0,0.1296,0.095,0.1443,0.0654
256,N_eff,0.139,0.0593,0.1428,0.0461,0.0,0.0,0.0,0.0
256,beta,0.2117,0.0828,0.2336,0.0627,0.0,0.0,0.0,0.0
256,Tc_K,0.1746,0.0864,0.2072,0.0533,0.0,0.0,0.0,0.0
256,dG_ads,0.137,0.11,0.1908,0.0507,0.0,0.0,0.0,0.0
256,a_s,0.0962,0.075,0.1729,0.0581,0.8881,0.1479,0.9154,0.1292
256,I_M,0.1135,0.0784,0.1278,0.0404,0.0,0.0,0.0,0.0
256,eta_eff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,k_ext,0.0,0.0,0.0,0.0,0.0985,0.0663,0.1391,0.0481
512,N_eff,0.1282,0.047,0.1432,0.028,0.0,0.0,0.0,0.0
512,beta,0.2108,0.0616,0.2434,0.0462,0.0,0.0,0.0,0.0
512,Tc_K,0.1934,0.0558,0.2089,0.0334,0.0,0.0,0.0,0.0
512,dG_ads,0.1157,0.0654,0.1998,0.0424,0.0,0.0,0.0,0.0
512,a_s,0.0935,0.0489,0.1644,0.0374,0.8857,0.1016,0.9146,0.087
512,I_M,0.1005,0.0501,0.1286,0.0295,0.0,0.0,0.0,0.0
512,eta_eff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,k_ext,0.0,0.0,0.0,0.0,0.087,0.0397,0.1185,0.0255
1024,N_eff,0.1281,0.0349,0.1471,0.0203,0.0,0.0,0.0,0.0
1024,beta,0.2101,0.0429,0.2527,0.0321,0.0,0.0,0.0,0.0
1024,Tc_K,0.2059,0.0402,0.2088,0.0243,0.0,0.0,0.0,0.0
1024,dG_ads,0.1172,0.0449,0.203,0.0299,0.0,0.0,0.0,0.0
1024,a_s,0.1095,0.0336,0.1817,0.0329,0.8881,0.0694,0.9138,0.0617
1024,I_M,0.1036,0.0318,0.1263,0.0196,0.0,0.0,0.0,0.0
1024,eta_eff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,k_ext,0.0,0.0,0.0,0.0,0.0887,0.0275,0.1156,0.0171
